page,clicks,impressions,ctr,position
https://www.law-attorneys.com/personal-injury/case-1,895,33057,0.0271,10.7
https://www.law-attorneys.com/personal-injury/case-2,3312,44698,0.0741,10.1
https://www.law-attorneys.com/personal-injury/case-3,775,9889,0.0784,21.3
https://www.law-attorneys.com/personal-injury/case-4,1074,15888,0.0676,3.8
https://www.law-attorneys.com/personal-injury/case-5,2704,36502,0.0741,7.5
https://www.law-attorneys.com/personal-injury/case-6,568,8968,0.0634,3.6
https://www.law-attorneys.com/personal-injury/case-7,309,12915,0.024,8.6
https://www.law-attorneys.com/personal-injury/case-8,1447,39331,0.0368,20.5
https://www.law-attorneys.com/personal-injury/case-9,343,8918,0.0385,2.7
https://www.law-attorneys.com/personal-injury/case-10,168,46848,0.0036,4.6
https://www.law-attorneys.com/personal-injury/case-11,853,41053,0.0208,20.9
https://www.law-attorneys.com/personal-injury/case-12,2964,37809,0.0784,11.5
https://www.law-attorneys.com/personal-injury/case-13,52,1317,0.0399,22.4
https://www.law-attorneys.com/personal-injury/case-14,490,29910,0.0164,22.7
https://www.law-attorneys.com/personal-injury/case-15,204,9412,0.0217,22.1
https://www.law-attorneys.com/personal-injury/case-16,1690,29291,0.0577,24.7
https://www.law-attorneys.com/personal-injury/case-17,656,45909,0.0143,3.3
https://www.law-attorneys.com/personal-injury/case-18,594,9733,0.0611,22.7
https://www.law-attorneys.com/personal-injury/case-19,465,10244,0.0454,5.0
https://www.law-attorneys.com/personal-injury/case-20,2431,44217,0.055,8.6
https://www.law-attorneys.com/personal-injury/case-21,723,10798,0.067,16.6
https://www.law-attorneys.com/personal-injury/case-22,577,22839,0.0253,18.9
https://www.law-attorneys.com/personal-injury/case-23,10,365,0.0289,24.2
https://www.law-attorneys.com/personal-injury/case-24,2411,49731,0.0485,6.4
https://www.law-attorneys.com/personal-injury/case-25,234,12464,0.0188,6.0
https://www.law-attorneys.com/personal-injury/case-26,1627,48021,0.0339,23.2
https://www.law-attorneys.com/personal-injury/case-27,1675,24347,0.0688,20.2
https://www.law-attorneys.com/personal-injury/case-28,82,1534,0.0538,9.5
https://www.law-attorneys.com/personal-injury/case-29,245,38989,0.0063,8.5
https://www.law-attorneys.com/personal-injury/case-30,572,10585,0.0541,21.4
https://www.law-attorneys.com/personal-injury/case-31,1940,38886,0.0499,16.1
https://www.law-attorneys.com/personal-injury/case-32,404,21526,0.0188,2.5
https://www.law-attorneys.com/personal-injury/case-33,202,28975,0.007,17.6
https://www.law-attorneys.com/personal-injury/case-34,787,48310,0.0163,11.0
https://www.law-attorneys.com/personal-injury/case-35,2892,49791,0.0581,8.3
https://www.law-attorneys.com/personal-injury/case-36,303,5065,0.0599,24.9
https://www.law-attorneys.com/personal-injury/case-37,416,29101,0.0143,7.7
https://www.law-attorneys.com/personal-injury/case-38,59,1015,0.0591,11.2
https://www.law-attorneys.com/personal-injury/case-39,202,14479,0.014,16.2
https://www.law-attorneys.com/personal-injury/case-40,384,19035,0.0202,22.4
https://www.law-attorneys.com/personal-injury/case-41,17,7591,0.0023,3.5
https://www.law-attorneys.com/personal-injury/case-42,1062,16568,0.0641,23.4
https://www.law-attorneys.com/personal-injury/case-43,329,47005,0.007,1.6
https://www.law-attorneys.com/personal-injury/case-44,220,14508,0.0152,7.0
https://www.law-attorneys.com/personal-injury/case-45,154,9259,0.0167,20.3
https://www.law-attorneys.com/personal-injury/case-46,1254,19295,0.065,6.7
https://www.law-attorneys.com/personal-injury/case-47,1166,17735,0.0658,6.1
https://www.law-attorneys.com/personal-injury/case-48,1225,43766,0.028,1.5
https://www.law-attorneys.com/personal-injury/case-49,562,36266,0.0155,24.4
https://www.law-attorneys.com/personal-injury/case-50,3157,46574,0.0678,10.7
https://www.law-attorneys.com/personal-injury/case-51,925,28296,0.0327,9.9
https://www.law-attorneys.com/personal-injury/case-52,531,41228,0.0129,14.1
https://www.law-attorneys.com/personal-injury/case-53,33,486,0.0691,14.9
https://www.law-attorneys.com/personal-injury/case-54,557,8552,0.0652,19.4
https://www.law-attorneys.com/personal-injury/case-55,971,42631,0.0228,23.1
https://www.law-attorneys.com/personal-injury/case-56,1808,43160,0.0419,20.5
https://www.law-attorneys.com/personal-injury/case-57,1750,29168,0.06,5.4
https://www.law-attorneys.com/personal-injury/case-58,440,45378,0.0097,15.3
https://www.law-attorneys.com/personal-injury/case-59,835,15167,0.0551,2.9
https://www.law-attorneys.com/personal-injury/case-60,680,17364,0.0392,11.1
https://www.law-attorneys.com/car-accidents/case-1,1587,49778,0.0319,22.3
https://www.law-attorneys.com/car-accidents/case-2,245,47176,0.0052,12.5
https://www.law-attorneys.com/car-accidents/case-3,444,14584,0.0305,22.5
https://www.law-attorneys.com/car-accidents/case-4,287,12444,0.0231,9.0
https://www.law-attorneys.com/car-accidents/case-5,76,19547,0.0039,1.6
https://www.law-attorneys.com/car-accidents/case-6,1693,26836,0.0631,2.8
https://www.law-attorneys.com/car-accidents/case-7,483,35790,0.0135,21.1
https://www.law-attorneys.com/car-accidents/case-8,259,24011,0.0108,2.2
https://www.law-attorneys.com/car-accidents/case-9,961,14698,0.0654,8.4
https://www.law-attorneys.com/car-accidents/case-10,2000,42373,0.0472,15.1
https://www.law-attorneys.com/car-accidents/case-11,797,48061,0.0166,9.6
